Time,Tx Commit p50,Tx Commit p90
2025-06-13 11:02:40,339,433
2025-06-13 11:02:40,337,425
2025-06-13 11:02:41,344,430
2025-06-13 11:02:41,345,430
2025-06-13 11:02:42,343,427
2025-06-13 11:02:42,343,430
2025-06-13 11:02:43,345,430
2025-06-13 11:02:43,345,426
2025-06-13 11:02:44,344,423
2025-06-13 11:02:44,346,423
2025-06-13 11:02:45,347,422
2025-06-13 11:02:45,347,422
2025-06-13 11:02:46,347,421
2025-06-13 11:02:46,348,420
2025-06-13 11:02:47,348,419
2025-06-13 11:02:47,349,420
2025-06-13 11:02:48,354,422
2025-06-13 11:02:48,357,424
2025-06-13 11:02:49,358,425
2025-06-13 11:02:49,358,425
2025-06-13 11:02:50,357,424
2025-06-13 11:02:50,357,424
2025-06-13 11:02:51,357,424
2025-06-13 11:02:51,357,424
2025-06-13 11:02:52,357,424
2025-06-13 11:02:52,357,424
2025-06-13 11:02:53,357,424
2025-06-13 11:02:53,357,424
2025-06-13 11:02:54,357,424
2025-06-13 11:02:54,357,424
2025-06-13 11:02:55,357,424
2025-06-13 11:02:55,357,424
2025-06-13 11:02:56,357,424
2025-06-13 11:02:56,357,424
2025-06-13 11:02:57,357,424
2025-06-13 11:02:57,357,424
2025-06-13 11:02:58,357,424
2025-06-13 11:02:58,357,424
2025-06-13 11:02:59,357,424
2025-06-13 11:02:59,357,424
2025-06-13 11:03:00,357,424
2025-06-13 11:03:00,357,424
2025-06-13 11:03:01,357,424
2025-06-13 11:03:01,357,424
2025-06-13 11:03:02,357,424
2025-06-13 11:03:02,357,424
2025-06-13 11:03:03,357,424
2025-06-13 11:03:03,357,424
2025-06-13 11:03:04,357,424
2025-06-13 11:03:04,357,424
2025-06-13 11:03:05,357,424
2025-06-13 11:03:05,357,424
2025-06-13 11:03:06,357,424
2025-06-13 11:03:06,357,424
2025-06-13 11:03:07,357,424
2025-06-13 11:03:07,357,424
2025-06-13 11:03:08,357,424
2025-06-13 11:03:08,357,424
2025-06-13 11:03:09,357,424
2025-06-13 11:03:09,357,424
2025-06-13 11:03:10,357,424
2025-06-13 11:03:10,357,424
2025-06-13 11:03:11,357,424
2025-06-13 11:03:11,357,424
2025-06-13 11:03:12,357,424
2025-06-13 11:03:12,357,424
2025-06-13 11:03:13,357,424
2025-06-13 11:03:13,357,424
2025-06-13 11:03:14,357,424
2025-06-13 11:03:14,357,424
2025-06-13 11:03:15,357,424
2025-06-13 11:03:15,357,424
2025-06-13 11:03:16,357,424
2025-06-13 11:03:16,357,424
2025-06-13 11:03:17,357,424
2025-06-13 11:03:17,357,424
2025-06-13 11:03:18,357,424
2025-06-13 11:03:18,357,424
2025-06-13 11:03:19,357,424
2025-06-13 11:03:19,357,424
2025-06-13 11:03:20,357,424
2025-06-13 11:03:20,357,424
2025-06-13 11:03:21,357,424
2025-06-13 11:03:21,357,424
2025-06-13 11:03:22,357,424
2025-06-13 11:03:22,357,424
2025-06-13 11:03:23,357,424
2025-06-13 11:03:23,357,424
2025-06-13 11:03:24,357,424
2025-06-13 11:03:24,357,424
2025-06-13 11:03:25,357,424
2025-06-13 11:03:25,357,424
2025-06-13 11:03:26,357,424
2025-06-13 11:03:26,357,424
2025-06-13 11:03:27,357,424
2025-06-13 11:03:27,357,424
2025-06-13 11:03:28,357,424
2025-06-13 11:03:28,357,424
2025-06-13 11:03:29,357,424
2025-06-13 11:03:29,357,424
2025-06-13 11:03:30,357,424
2025-06-13 11:03:30,357,424
2025-06-13 11:03:31,357,424
2025-06-13 11:03:31,357,424
2025-06-13 11:03:32,357,424
2025-06-13 11:03:32,357,424
2025-06-13 11:03:33,357,424
2025-06-13 11:03:33,357,424
2025-06-13 11:03:34,357,424
2025-06-13 11:03:34,357,424
2025-06-13 11:03:35,357,424
2025-06-13 11:03:35,357,424
2025-06-13 11:03:36,357,424
2025-06-13 11:03:36,357,424
2025-06-13 11:03:37,357,424
2025-06-13 11:03:37,357,424
2025-06-13 11:03:38,357,424
2025-06-13 11:03:38,357,424
2025-06-13 11:03:39,357,424
2025-06-13 11:03:39,357,424
2025-06-13 11:03:40,357,425
2025-06-13 11:03:40,356,425
2025-06-13 11:03:41,356,425
2025-06-13 11:03:41,356,425
2025-06-13 11:03:42,356,425
2025-06-13 11:03:42,356,425
2025-06-13 11:03:43,355,425
2025-06-13 11:03:43,355,425
2025-06-13 11:03:44,355,425
2025-06-13 11:03:44,355,425
2025-06-13 11:03:45,355,424
2025-06-13 11:03:45,355,424
2025-06-13 11:03:46,355,424
2025-06-13 11:03:46,355,424
2025-06-13 11:03:47,355,424
2025-06-13 11:03:47,355,424
2025-06-13 11:03:48,355,425
2025-06-13 11:03:48,355,425
2025-06-13 11:03:49,355,425
2025-06-13 11:03:49,355,425
2025-06-13 11:03:50,355,425
2025-06-13 11:03:50,355,425
2025-06-13 11:03:51,355,425
2025-06-13 11:03:51,355,425
2025-06-13 11:03:52,355,425
2025-06-13 11:03:52,355,425
2025-06-13 11:03:53,355,425
2025-06-13 11:03:53,355,425
2025-06-13 11:03:54,355,425
2025-06-13 11:03:54,355,425
2025-06-13 11:03:55,355,425
2025-06-13 11:03:55,355,425
2025-06-13 11:03:56,355,425
2025-06-13 11:03:56,355,425
2025-06-13 11:03:57,355,425
2025-06-13 11:03:57,355,425
2025-06-13 11:03:58,355,425
2025-06-13 11:03:58,355,425
2025-06-13 11:03:59,355,425
2025-06-13 11:03:59,355,425
2025-06-13 11:04:00,355,425
2025-06-13 11:04:00,355,425
2025-06-13 11:04:01,355,425
2025-06-13 11:04:01,355,425
2025-06-13 11:04:02,355,425
2025-06-13 11:04:02,355,425
2025-06-13 11:04:03,355,425
2025-06-13 11:04:03,355,425
2025-06-13 11:04:04,355,425
2025-06-13 11:04:04,355,425
2025-06-13 11:04:05,355,425
2025-06-13 11:04:05,355,425
2025-06-13 11:04:06,355,425
2025-06-13 11:04:06,355,425
2025-06-13 11:04:07,355,425
2025-06-13 11:04:07,355,425
2025-06-13 11:04:08,355,425
2025-06-13 11:04:08,355,425
2025-06-13 11:04:09,355,425
2025-06-13 11:04:09,355,425
2025-06-13 11:04:10,355,425
2025-06-13 11:04:10,355,425
2025-06-13 11:04:11,355,425
2025-06-13 11:04:11,355,425
2025-06-13 11:04:12,355,425
2025-06-13 11:04:12,355,425
2025-06-13 11:04:13,355,425
2025-06-13 11:04:13,355,425
2025-06-13 11:04:14,355,425
2025-06-13 11:04:14,355,425
2025-06-13 11:04:15,355,425
2025-06-13 11:04:15,355,425
2025-06-13 11:04:16,355,425
2025-06-13 11:04:16,355,425
2025-06-13 11:04:17,355,425
2025-06-13 11:04:17,355,425
2025-06-13 11:04:18,355,425
2025-06-13 11:04:18,355,425
2025-06-13 11:04:19,355,425
2025-06-13 11:04:19,355,425
2025-06-13 11:04:20,355,425
2025-06-13 11:04:20,355,425
2025-06-13 11:04:21,355,425
2025-06-13 11:04:21,355,425
2025-06-13 11:04:22,355,425
2025-06-13 11:04:22,355,425
2025-06-13 11:04:23,355,425
2025-06-13 11:04:23,355,425
2025-06-13 11:04:24,355,425
2025-06-13 11:04:24,355,425
2025-06-13 11:04:25,355,425
2025-06-13 11:04:25,355,425
2025-06-13 11:04:26,355,425
2025-06-13 11:04:26,355,425
2025-06-13 11:04:27,355,425
2025-06-13 11:04:27,355,425
2025-06-13 11:04:28,355,425
2025-06-13 11:04:28,355,425
2025-06-13 11:04:29,355,425
2025-06-13 11:04:29,355,425
2025-06-13 11:04:30,355,425
2025-06-13 11:04:30,355,425
2025-06-13 11:04:31,355,425
2025-06-13 11:04:31,355,425
2025-06-13 11:04:32,355,425
2025-06-13 11:04:32,355,425
2025-06-13 11:04:33,355,425
2025-06-13 11:04:33,355,425
2025-06-13 11:04:34,355,425
2025-06-13 11:04:34,355,425
2025-06-13 11:04:35,355,425
2025-06-13 11:04:35,355,425
2025-06-13 11:04:36,355,425
2025-06-13 11:04:36,355,425
2025-06-13 11:04:37,355,425
2025-06-13 11:04:37,355,425
2025-06-13 11:04:38,355,425
2025-06-13 11:04:38,355,425
2025-06-13 11:04:39,355,425
2025-06-13 11:04:39,355,425
2025-06-13 11:04:40,355,425
2025-06-13 11:04:40,355,425
2025-06-13 11:04:41,356,425
2025-06-13 11:04:41,355,425
2025-06-13 11:04:42,356,425
2025-06-13 11:04:42,355,425
2025-06-13 11:04:43,355,425
2025-06-13 11:04:43,356,425
2025-06-13 11:04:44,356,425
2025-06-13 11:04:44,356,425
2025-06-13 11:04:45,356,425
2025-06-13 11:04:45,356,425
2025-06-13 11:04:46,356,425
2025-06-13 11:04:46,356,425
2025-06-13 11:04:47,356,425
2025-06-13 11:04:47,356,425
2025-06-13 11:04:48,356,424
2025-06-13 11:04:48,356,424
2025-06-13 11:04:49,357,424
2025-06-13 11:04:49,357,424
2025-06-13 11:04:50,357,423
2025-06-13 11:04:50,357,423
2025-06-13 11:04:51,357,423
2025-06-13 11:04:51,357,423
2025-06-13 11:04:52,357,423
2025-06-13 11:04:52,357,423
2025-06-13 11:04:53,357,423
2025-06-13 11:04:53,357,423
2025-06-13 11:04:54,357,423
2025-06-13 11:04:54,357,423
2025-06-13 11:04:55,357,423
2025-06-13 11:04:55,357,423
2025-06-13 11:04:56,357,423
2025-06-13 11:04:56,357,423
2025-06-13 11:04:57,357,423
2025-06-13 11:04:57,357,423
2025-06-13 11:04:58,357,423
2025-06-13 11:04:58,357,423
2025-06-13 11:04:59,357,423
2025-06-13 11:04:59,357,423
2025-06-13 11:05:00,357,423
2025-06-13 11:05:00,357,423
2025-06-13 11:05:01,357,423
2025-06-13 11:05:01,357,423
2025-06-13 11:05:02,357,423
2025-06-13 11:05:02,357,423
2025-06-13 11:05:03,357,423
2025-06-13 11:05:03,357,423
2025-06-13 11:05:04,357,423
2025-06-13 11:05:04,357,423
2025-06-13 11:05:05,357,423
2025-06-13 11:05:05,357,423
2025-06-13 11:05:06,357,423
2025-06-13 11:05:06,357,423
2025-06-13 11:05:07,357,423
2025-06-13 11:05:07,357,423
2025-06-13 11:05:08,357,423
2025-06-13 11:05:08,357,423
2025-06-13 11:05:09,357,423
2025-06-13 11:05:09,357,423
2025-06-13 11:05:10,357,423
2025-06-13 11:05:10,357,423
2025-06-13 11:05:11,357,423
2025-06-13 11:05:11,357,423
2025-06-13 11:05:12,357,423
2025-06-13 11:05:12,357,423
2025-06-13 11:05:13,357,423
2025-06-13 11:05:13,357,423
2025-06-13 11:05:14,357,423
2025-06-13 11:05:14,357,423
2025-06-13 11:05:15,357,423
2025-06-13 11:05:15,357,423
2025-06-13 11:05:16,357,423
2025-06-13 11:05:16,357,423
2025-06-13 11:05:17,357,423
2025-06-13 11:05:17,357,423
2025-06-13 11:05:18,357,423
2025-06-13 11:05:18,357,423
2025-06-13 11:05:19,357,423
2025-06-13 11:05:19,357,423
2025-06-13 11:05:20,357,423
2025-06-13 11:05:20,357,423
2025-06-13 11:05:21,357,423
2025-06-13 11:05:21,357,423
2025-06-13 11:05:22,357,423
2025-06-13 11:05:22,357,423
2025-06-13 11:05:23,357,423
2025-06-13 11:05:23,357,423
2025-06-13 11:05:24,357,423
2025-06-13 11:05:24,357,423
2025-06-13 11:05:25,357,423
2025-06-13 11:05:25,357,423
2025-06-13 11:05:26,357,423
2025-06-13 11:05:26,357,423
2025-06-13 11:05:27,357,423
2025-06-13 11:05:27,357,423
2025-06-13 11:05:28,357,423
2025-06-13 11:05:28,357,423
2025-06-13 11:05:29,357,423
2025-06-13 11:05:29,357,423
2025-06-13 11:05:30,357,423
2025-06-13 11:05:30,357,423
2025-06-13 11:05:31,357,423
2025-06-13 11:05:31,357,423
2025-06-13 11:05:32,357,423
2025-06-13 11:05:32,357,423
2025-06-13 11:05:33,357,423
2025-06-13 11:05:33,357,423
2025-06-13 11:05:34,357,423
2025-06-13 11:05:34,357,423
2025-06-13 11:05:35,357,423
2025-06-13 11:05:35,357,423
2025-06-13 11:05:36,357,423
2025-06-13 11:05:36,357,423
2025-06-13 11:05:37,357,423
2025-06-13 11:05:37,357,423
2025-06-13 11:05:38,357,423
2025-06-13 11:05:38,357,423
2025-06-13 11:05:39,357,423
2025-06-13 11:05:39,357,423
2025-06-13 11:05:40,356,423
2025-06-13 11:05:40,356,423
2025-06-13 11:05:41,356,423
2025-06-13 11:05:41,356,423
2025-06-13 11:05:42,356,423
2025-06-13 11:05:42,356,423
2025-06-13 11:05:43,356,423
2025-06-13 11:05:43,356,423
2025-06-13 11:05:44,356,423
2025-06-13 11:05:44,356,423
2025-06-13 11:05:45,356,423
2025-06-13 11:05:45,356,423
2025-06-13 11:05:46,356,423
2025-06-13 11:05:46,356,422
2025-06-13 11:05:47,356,422
2025-06-13 11:05:47,356,422
2025-06-13 11:05:48,355,422
2025-06-13 11:05:48,355,422
2025-06-13 11:05:49,355,422
2025-06-13 11:05:49,355,422
2025-06-13 11:05:50,355,422
2025-06-13 11:05:50,355,422
2025-06-13 11:05:51,355,422
2025-06-13 11:05:51,355,422
2025-06-13 11:05:52,355,422
2025-06-13 11:05:52,355,422
2025-06-13 11:05:53,355,422
2025-06-13 11:05:53,355,422
2025-06-13 11:05:54,355,422
2025-06-13 11:05:54,355,422
2025-06-13 11:05:55,355,422
