Time,Tx Commit p50,Tx Commit p90
2025-07-23 12:49:18,292,380
2025-07-23 12:49:19,292,380
2025-07-23 12:49:19,292,380
2025-07-23 12:49:20,292,380
2025-07-23 12:49:20,292,380
2025-07-23 12:49:21,292,380
2025-07-23 12:49:21,292,380
2025-07-23 12:49:22,292,380
2025-07-23 12:49:22,292,380
2025-07-23 12:49:23,292,380
2025-07-23 12:49:23,292,380
2025-07-23 12:49:24,292,380
2025-07-23 12:49:24,292,380
2025-07-23 12:49:25,292,380
2025-07-23 12:49:25,292,380
2025-07-23 12:49:26,292,380
2025-07-23 12:49:26,292,380
2025-07-23 12:49:27,292,380
2025-07-23 12:49:27,292,380
2025-07-23 12:49:28,292,380
2025-07-23 12:49:28,292,380
2025-07-23 12:49:29,292,380
2025-07-23 12:49:29,292,380
2025-07-23 12:49:30,292,380
2025-07-23 12:49:30,292,380
2025-07-23 12:49:31,292,380
2025-07-23 12:49:31,292,380
2025-07-23 12:49:32,292,380
2025-07-23 12:49:32,292,380
2025-07-23 12:49:33,292,380
2025-07-23 12:49:33,292,380
2025-07-23 12:49:34,292,380
2025-07-23 12:49:34,292,380
2025-07-23 12:49:35,292,380
2025-07-23 12:49:35,292,380
2025-07-23 12:49:36,292,380
2025-07-23 12:49:36,292,380
2025-07-23 12:49:37,292,380
2025-07-23 12:49:37,292,380
2025-07-23 12:49:38,292,380
2025-07-23 12:49:38,292,380
2025-07-23 12:49:39,292,380
2025-07-23 12:49:39,292,380
2025-07-23 12:49:40,292,380
2025-07-23 12:49:40,292,380
2025-07-23 12:49:41,292,380
2025-07-23 12:49:41,292,380
2025-07-23 12:49:42,292,380
2025-07-23 12:49:42,292,380
2025-07-23 12:49:43,292,380
2025-07-23 12:49:43,292,380
2025-07-23 12:49:44,292,380
2025-07-23 12:49:44,292,380
2025-07-23 12:49:45,292,380
2025-07-23 12:49:45,292,380
2025-07-23 12:49:46,292,380
2025-07-23 12:49:46,292,380
2025-07-23 12:49:47,292,380
2025-07-23 12:49:47,292,380
2025-07-23 12:49:48,292,380
2025-07-23 12:49:48,292,380
2025-07-23 12:49:49,292,380
2025-07-23 12:49:49,292,380
2025-07-23 12:49:50,292,380
2025-07-23 12:49:50,292,380
2025-07-23 12:49:51,292,380
2025-07-23 12:49:51,292,380
2025-07-23 12:49:52,292,380
2025-07-23 12:49:52,292,380
2025-07-23 12:49:53,292,380
2025-07-23 12:49:53,292,380
2025-07-23 12:49:54,292,380
2025-07-23 12:49:54,292,380
2025-07-23 12:49:55,292,380
2025-07-23 12:49:55,292,380
2025-07-23 12:49:56,292,380
2025-07-23 12:49:56,292,380
2025-07-23 12:49:57,292,380
2025-07-23 12:49:57,292,380
2025-07-23 12:49:58,292,380
2025-07-23 12:49:58,292,380
2025-07-23 12:49:59,292,380
2025-07-23 12:49:59,292,380
2025-07-23 12:50:00,292,380
2025-07-23 12:50:00,292,380
2025-07-23 12:50:01,292,380
2025-07-23 12:50:01,292,380
2025-07-23 12:50:02,292,380
2025-07-23 12:50:02,292,380
2025-07-23 12:50:03,292,380
2025-07-23 12:50:03,292,380
2025-07-23 12:50:04,292,380
2025-07-23 12:50:04,292,380
2025-07-23 12:50:05,292,380
2025-07-23 12:50:05,292,380
2025-07-23 12:50:06,292,380
2025-07-23 12:50:06,292,380
2025-07-23 12:50:07,292,380
2025-07-23 12:50:07,292,380
2025-07-23 12:50:08,291,380
2025-07-23 12:50:08,291,378
2025-07-23 12:50:09,291,378
2025-07-23 12:50:09,291,377
2025-07-23 12:50:10,291,377
2025-07-23 12:50:10,291,374
2025-07-23 12:50:11,291,374
2025-07-23 12:50:11,291,368
2025-07-23 12:50:12,291,368
2025-07-23 12:50:12,291,365
2025-07-23 12:50:13,291,365
2025-07-23 12:50:13,291,361
2025-07-23 12:50:14,291,361
2025-07-23 12:50:14,291,361
2025-07-23 12:50:15,291,361
2025-07-23 12:50:15,291,361
2025-07-23 12:50:16,291,361
2025-07-23 12:50:16,291,361
2025-07-23 12:50:17,291,361
2025-07-23 12:50:17,291,361
2025-07-23 12:50:18,291,361
2025-07-23 12:50:18,291,361
2025-07-23 12:50:19,291,361
2025-07-23 12:50:19,291,361
2025-07-23 12:50:20,291,361
2025-07-23 12:50:20,291,361
2025-07-23 12:50:21,291,361
2025-07-23 12:50:21,291,361
2025-07-23 12:50:22,291,361
2025-07-23 12:50:22,291,361
2025-07-23 12:50:23,291,361
2025-07-23 12:50:23,291,361
2025-07-23 12:50:24,291,361
2025-07-23 12:50:24,291,361
2025-07-23 12:50:25,291,361
2025-07-23 12:50:25,291,361
2025-07-23 12:50:26,291,361
2025-07-23 12:50:26,291,361
2025-07-23 12:50:27,291,361
2025-07-23 12:50:27,291,361
2025-07-23 12:50:28,291,361
2025-07-23 12:50:28,291,361
2025-07-23 12:50:29,291,361
2025-07-23 12:50:29,291,361
2025-07-23 12:50:30,291,361
2025-07-23 12:50:30,291,361
2025-07-23 12:50:31,291,361
2025-07-23 12:50:31,291,361
2025-07-23 12:50:32,291,361
2025-07-23 12:50:32,291,361
2025-07-23 12:50:33,291,361
2025-07-23 12:50:33,291,361
2025-07-23 12:50:34,291,361
2025-07-23 12:50:34,291,361
2025-07-23 12:50:35,291,361
2025-07-23 12:50:35,291,361
2025-07-23 12:50:36,291,361
2025-07-23 12:50:36,291,361
2025-07-23 12:50:37,291,361
2025-07-23 12:50:37,291,361
2025-07-23 12:50:38,291,361
2025-07-23 12:50:38,291,361
2025-07-23 12:50:39,291,361
2025-07-23 12:50:39,291,361
2025-07-23 12:50:40,291,361
2025-07-23 12:50:40,291,361
2025-07-23 12:50:41,291,361
2025-07-23 12:50:41,291,361
2025-07-23 12:50:42,291,361
2025-07-23 12:50:42,291,361
2025-07-23 12:50:43,291,361
2025-07-23 12:50:43,291,361
2025-07-23 12:50:44,291,361
2025-07-23 12:50:44,291,361
2025-07-23 12:50:45,291,361
2025-07-23 12:50:45,291,361
2025-07-23 12:50:46,291,361
2025-07-23 12:50:46,291,361
2025-07-23 12:50:47,291,361
2025-07-23 12:50:47,291,361
2025-07-23 12:50:48,291,361
2025-07-23 12:50:48,291,361
2025-07-23 12:50:49,291,361
2025-07-23 12:50:49,291,361
2025-07-23 12:50:50,291,361
2025-07-23 12:50:50,291,361
2025-07-23 12:50:51,291,361
2025-07-23 12:50:51,291,361
2025-07-23 12:50:52,291,361
2025-07-23 12:50:52,291,361
2025-07-23 12:50:53,291,361
2025-07-23 12:50:53,291,361
2025-07-23 12:50:54,291,361
2025-07-23 12:50:54,291,361
2025-07-23 12:50:55,291,361
2025-07-23 12:50:55,291,361
2025-07-23 12:50:56,291,361
2025-07-23 12:50:56,291,361
2025-07-23 12:50:57,291,361
2025-07-23 12:50:57,291,361
2025-07-23 12:50:58,291,361
2025-07-23 12:50:58,291,361
2025-07-23 12:50:59,291,361
2025-07-23 12:50:59,291,361
2025-07-23 12:51:00,291,361
2025-07-23 12:51:00,291,361
2025-07-23 12:51:01,291,361
2025-07-23 12:51:01,291,361
2025-07-23 12:51:02,291,361
2025-07-23 12:51:02,291,361
2025-07-23 12:51:03,291,361
2025-07-23 12:51:03,291,361
2025-07-23 12:51:04,291,361
2025-07-23 12:51:04,291,361
2025-07-23 12:51:05,291,361
2025-07-23 12:51:05,291,361
2025-07-23 12:51:06,291,361
2025-07-23 12:51:06,291,361
2025-07-23 12:51:07,291,361
2025-07-23 12:51:07,291,361
2025-07-23 12:51:08,292,362
2025-07-23 12:51:08,292,364
2025-07-23 12:51:09,292,364
2025-07-23 12:51:09,293,364
2025-07-23 12:51:10,293,364
2025-07-23 12:51:10,294,368
2025-07-23 12:51:11,296,368
2025-07-23 12:51:11,298,380
2025-07-23 12:51:12,298,380
2025-07-23 12:51:12,298,384
2025-07-23 12:51:13,298,384
2025-07-23 12:51:13,298,387
2025-07-23 12:51:14,298,387
2025-07-23 12:51:14,298,387
2025-07-23 12:51:15,298,387
2025-07-23 12:51:15,298,387
2025-07-23 12:51:16,298,387
2025-07-23 12:51:16,298,387
2025-07-23 12:51:17,298,387
2025-07-23 12:51:17,298,387
2025-07-23 12:51:18,298,387
2025-07-23 12:51:18,298,387
2025-07-23 12:51:19,298,387
