Time,Tx Commit p50,Tx Commit p90
2025-06-01 12:56:37,301,352
2025-06-01 12:56:37,301,352
2025-06-01 12:56:38,301,352
2025-06-01 12:56:38,301,352
2025-06-01 12:56:39,301,352
2025-06-01 12:56:39,301,352
2025-06-01 12:56:40,301,352
2025-06-01 12:56:40,301,352
2025-06-01 12:56:41,301,352
2025-06-01 12:56:41,301,352
2025-06-01 12:56:42,301,352
2025-06-01 12:56:42,301,352
2025-06-01 12:56:43,301,352
2025-06-01 12:56:43,301,352
2025-06-01 12:56:43,301,352
2025-06-01 12:56:44,301,352
2025-06-01 12:56:44,301,352
2025-06-01 12:56:45,301,352
2025-06-01 12:56:45,301,352
2025-06-01 12:56:46,301,352
2025-06-01 12:56:46,301,352
2025-06-01 12:56:46,301,352
2025-06-01 12:56:47,301,352
2025-06-01 12:56:47,301,352
2025-06-01 12:56:48,301,352
2025-06-01 12:56:48,301,352
2025-06-01 12:56:49,301,352
2025-06-01 12:56:49,301,352
2025-06-01 12:56:50,301,352
2025-06-01 12:56:50,301,352
2025-06-01 12:56:50,301,352
2025-06-01 12:56:51,300,353
2025-06-01 12:56:51,300,353
2025-06-01 12:56:52,300,353
2025-06-01 12:56:52,300,353
2025-06-01 12:56:53,301,353
2025-06-01 12:56:53,301,353
2025-06-01 12:56:53,301,357
2025-06-01 12:56:54,300,357
2025-06-01 12:56:54,300,357
2025-06-01 12:56:55,301,357
2025-06-01 12:56:55,301,357
2025-06-01 12:56:56,301,357
2025-06-01 12:56:56,301,357
2025-06-01 12:56:56,301,357
2025-06-01 12:56:57,301,357
2025-06-01 12:56:57,301,357
2025-06-01 12:56:58,301,357
2025-06-01 12:56:58,301,357
2025-06-01 12:56:59,301,357
2025-06-01 12:56:59,301,357
2025-06-01 12:56:59,301,357
2025-06-01 12:57:00,301,357
2025-06-01 12:57:00,301,357
2025-06-01 12:57:01,301,357
2025-06-01 12:57:01,301,357
2025-06-01 12:57:02,301,357
2025-06-01 12:57:02,301,357
2025-06-01 12:57:02,301,357
2025-06-01 12:57:03,301,357
2025-06-01 12:57:03,301,357
2025-06-01 12:57:04,301,357
2025-06-01 12:57:04,301,357
2025-06-01 12:57:05,301,357
2025-06-01 12:57:05,301,357
2025-06-01 12:57:05,301,357
2025-06-01 12:57:06,301,357
2025-06-01 12:57:06,301,357
2025-06-01 12:57:07,301,357
2025-06-01 12:57:07,301,357
2025-06-01 12:57:08,301,357
2025-06-01 12:57:08,301,357
2025-06-01 12:57:09,301,357
2025-06-01 12:57:09,301,357
2025-06-01 12:57:09,301,357
2025-06-01 12:57:10,301,357
2025-06-01 12:57:10,301,357
2025-06-01 12:57:11,301,357
2025-06-01 12:57:11,301,357
2025-06-01 12:57:12,301,357
2025-06-01 12:57:12,301,357
2025-06-01 12:57:12,301,357
2025-06-01 12:57:13,301,357
2025-06-01 12:57:13,301,357
2025-06-01 12:57:14,301,357
2025-06-01 12:57:14,301,357
2025-06-01 12:57:15,301,357
2025-06-01 12:57:15,301,357
2025-06-01 12:57:15,301,357
2025-06-01 12:57:16,301,357
2025-06-01 12:57:16,301,357
2025-06-01 12:57:17,301,357
2025-06-01 12:57:17,301,357
2025-06-01 12:57:18,301,357
2025-06-01 12:57:18,301,357
2025-06-01 12:57:18,301,357
2025-06-01 12:57:19,301,357
2025-06-01 12:57:19,301,357
2025-06-01 12:57:20,301,357
2025-06-01 12:57:20,301,357
2025-06-01 12:57:21,301,357
2025-06-01 12:57:21,301,357
2025-06-01 12:57:21,301,357
2025-06-01 12:57:22,301,357
2025-06-01 12:57:22,301,357
2025-06-01 12:57:23,301,357
2025-06-01 12:57:23,301,357
2025-06-01 12:57:24,301,357
2025-06-01 12:57:24,301,357
2025-06-01 12:57:24,301,357
2025-06-01 12:57:25,301,357
2025-06-01 12:57:25,301,357
2025-06-01 12:57:26,301,357
2025-06-01 12:57:26,301,357
2025-06-01 12:57:27,301,357
2025-06-01 12:57:27,301,357
2025-06-01 12:57:28,301,357
2025-06-01 12:57:28,301,357
2025-06-01 12:57:28,301,357
2025-06-01 12:57:29,301,357
2025-06-01 12:57:29,301,357
2025-06-01 12:57:30,301,357
2025-06-01 12:57:30,301,357
2025-06-01 12:57:31,301,357
2025-06-01 12:57:31,301,357
2025-06-01 12:57:31,301,357
2025-06-01 12:57:32,301,357
2025-06-01 12:57:32,301,357
2025-06-01 12:57:33,301,357
2025-06-01 12:57:33,301,357
2025-06-01 12:57:34,301,357
2025-06-01 12:57:34,301,357
2025-06-01 12:57:34,301,357
2025-06-01 12:57:35,301,357
2025-06-01 12:57:35,301,357
2025-06-01 12:57:36,301,357
2025-06-01 12:57:36,301,357
2025-06-01 12:57:37,301,357
2025-06-01 12:57:37,301,357
2025-06-01 12:57:37,301,357
2025-06-01 12:57:38,301,357
2025-06-01 12:57:38,301,357
2025-06-01 12:57:39,301,357
2025-06-01 12:57:39,301,357
2025-06-01 12:57:40,301,357
2025-06-01 12:57:40,301,357
2025-06-01 12:57:40,301,357
2025-06-01 12:57:41,301,357
2025-06-01 12:57:41,301,357
2025-06-01 12:57:42,301,357
2025-06-01 12:57:42,301,357
2025-06-01 12:57:43,301,356
2025-06-01 12:57:43,301,356
2025-06-01 12:57:44,301,356
2025-06-01 12:57:44,301,356
2025-06-01 12:57:44,301,356
2025-06-01 12:57:45,301,356
2025-06-01 12:57:45,301,352
2025-06-01 12:57:46,301,352
2025-06-01 12:57:46,301,352
2025-06-01 12:57:47,300,352
2025-06-01 12:57:47,300,352
2025-06-01 12:57:47,300,352
2025-06-01 12:57:48,300,352
2025-06-01 12:57:48,300,352
2025-06-01 12:57:49,300,352
2025-06-01 12:57:49,300,352
2025-06-01 12:57:50,300,352
2025-06-01 12:57:50,300,352
2025-06-01 12:57:50,300,352
2025-06-01 12:57:51,300,352
2025-06-01 12:57:51,300,352
2025-06-01 12:57:52,300,352
2025-06-01 12:57:52,300,352
2025-06-01 12:57:53,300,352
2025-06-01 12:57:53,300,352
2025-06-01 12:57:53,300,352
2025-06-01 12:57:54,300,352
2025-06-01 12:57:54,300,352
2025-06-01 12:57:55,300,352
2025-06-01 12:57:55,300,352
2025-06-01 12:57:56,300,352
2025-06-01 12:57:56,300,352
2025-06-01 12:57:56,300,352
2025-06-01 12:57:57,300,352
2025-06-01 12:57:57,300,352
2025-06-01 12:57:58,300,352
2025-06-01 12:57:58,300,352
2025-06-01 12:57:59,300,352
2025-06-01 12:57:59,300,352
